class,nm_mun,descricao,area_km2,id
15.0,Três Cachoeiras,Pastagem,38.3365,188
15.0,Três Forquilhas,Pastagem,17.3263,189
15.0,Xangri-lá,Pastagem,3.1506,190
21.0,Arroio do Sal,Mosaico de Usos,28.1027,191
21.0,Balneário Pinhal,Mosaico de Usos,1.699,192
21.0,Capão da Canoa,Mosaico de Usos,12.1022,193
21.0,Capivari do Sul,Mosaico de Usos,17.2738,194
21.0,Caraá,Mosaico de Usos,9.784,195
21.0,Cidreira,Mosaico de Usos,4.9186,196
21.0,Dom Pedro de Alcântara,Mosaico de Usos,24.8946,197
21.0,Imbé,Mosaico de Usos,0.7621,198
21.0,Itati,Mosaico de Usos,14.4239,199
21.0,Mampituba,Mosaico de Usos,34.7196,200
21.0,Maquiné,Mosaico de Usos,15.1034,201
21.0,Morrinhos do Sul,Mosaico de Usos,45.1862,202
21.0,Osório,Mosaico de Usos,47.1222,203
21.0,Palmares do Sul,Mosaico de Usos,34.8518,204
21.0,Terra de Areia,Mosaico de Usos,9.5376,205
21.0,Torres,Mosaico de Usos,42.8579,206
21.0,Tramandaí,Mosaico de Usos,4.9053,207
21.0,Três Cachoeiras,Mosaico de Usos,42.9228,208
21.0,Três Forquilhas,Mosaico de Usos,18.0977,209
21.0,Xangri-lá,Mosaico de Usos,8.1609,210
41.0,Arroio do Sal,Outras Lavouras Temporárias,1.3776,211
41.0,Balneário Pinhal,Outras Lavouras Temporárias,1.8092,212
41.0,Capão da Canoa,Outras Lavouras Temporárias,1.7368,213
41.0,Capivari do Sul,Outras Lavouras Temporárias,92.5137,214
41.0,Caraá,Outras Lavouras Temporárias,6.7612,215
41.0,Cidreira,Outras Lavouras Temporárias,14.3668,216
41.0,Dom Pedro de Alcântara,Outras Lavouras Temporárias,1.0251,217
41.0,Imbé,Outras Lavouras Temporárias,1.0573,218
41.0,Itati,Outras Lavouras Temporárias,1.5551,219
41.0,Mampituba,Outras Lavouras Temporárias,3.6775,220
41.0,Maquiné,Outras Lavouras Temporárias,5.7823,221
41.0,Morrinhos do Sul,Outras Lavouras Temporárias,3.0472,222
41.0,Osório,Outras Lavouras Temporárias,30.5964,223
41.0,Palmares do Sul,Outras Lavouras Temporárias,84.5027,224
41.0,Terra de Areia,Outras Lavouras Temporárias,3.6325,225
