class,nm_mun,descricao,id,area_km2
41.0,,Outras Lavouras Temporárias,262,0.0774
25.0,,Outras Áreas não Vegetadas,263,0.006
,Arroio do Sal,,264,5.3055
,Balneário Pinhal,,265,0.0264
,Capão da Canoa,,266,16.5676
,Capivari do Sul,,267,0.1979
,Caraá,,268,0.8321
,Cidreira,,269,0.0535
,Imbé,,270,0.0353
,Itati,,271,1.0569
,Mampituba,,272,0.1527
,Maquiné,,273,1.4266
,Osório,,274,0.3423
,Palmares do Sul,,275,0.515
,Terra de Areia,,276,10.8348
,Torres,,277,0.2044
,Tramandaí,,278,0.0476
,Três Cachoeiras,,279,0.3245
,Três Forquilhas,,280,0.9187
,Xangri-lá,,281,3.185
